Months,Locally Manufactured & Imported,Market Share By Brand,Total Heavy (GCV >15t),    Scania,    Volvo,    Mercedes-Benz,    MAN,    Ford,    Iveco,    International,    DAF,    Agrale,    Other,Units By Brand,Total Heavy (GCV >15t),    Scania,    Volvo,    Mercedes-Benz,    MAN,    Ford,    Iveco,    International,    DAF,    Agrale,    Other,Heavy (GCV >45t),    Scania,    Volvo,    Mercedes-Benz,    MAN,    Iveco,    Ford,    International,    DAF,    Other,Semi-Heavy (GCV >15t - <45t),    MAN,    Mercedes-Benz,    Ford,    Volvo,    Iveco,    Scania,    Daimler,        Freightliner,        Western Star,        Mercedes-Benz,    PACCAR,        Kenworth,        Peterbilt,    Navistar,        International,    Volvo,        Volvo Truck,        Mack,    Dina Camiones,    MAN,        MAN,    Scania,    Other,    Daimler,        Freightliner,        Western Star,    PACCAR,        Kenworth,        Peterbilt,    Volvo,        Volvo Truck,        Mack,    Navistar,        International,    Other,    Daimler,        Freightliner,        Western Star,    PACCAR,        Kenworth,        Peterbilt,    Volvo,        Volvo Truck,        Mack,    Navistar,        International,    PACCAR,        Kenworth,    Navistar,        International,    Daimler,        Freightliner,        Mercedes-Benz,    Volvo,        Volvo Truck,        Mack,    Dina Camiones,    MAN,        MAN,    Scania,    Daimler,        Freightliner,        Mercedes-Benz,    Navistar,    PACCAR,        Kenworth,        Peterbilt,    Ford,    Hino,    Dina Camiones,    MAN,        Volkswagen Truck & Bus,    Daimler,        Freightliner,    Navistar,        International,    PACCAR,        Kenworth,        Peterbilt,    Ford,    Hino,    Navistar,        International,    PACCAR,        Kenworth,        Peterbilt,    Daimler,        Freightliner,    Hino,    Ford,    Daimler,        Freightliner,        Mercedes-Benz,    Navistar,        International,    Isuzu,    Hino,    Dina Camiones,    PACCAR,        Kenworth,    MAN,        Volkswagen Truck & Bus,Total North America (Class 8),    Daimler - Freightliner,    Daimler - Western Star,    Daimler - Mercedes-Benz,    PACCAR - Kenworth,    PACCAR - Peterbilt,    Navistar - International,    Volvo - Volvo Truck,    Volvo - Mack,    Dina Camiones,    MAN - MAN,    Scania,    Other,United States (Class 8),    Daimler - Freightliner,    Daimler - Western Star,    PACCAR - Kenworth,    PACCAR - Peterbilt,    Volvo - Volvo Truck,    Volvo - Mack,    Navistar - International,    Other,Canada (Class 8),    Daimler - Freightliner,    Daimler - Western Star,    PACCAR - Kenworth,    PACCAR - Peterbilt,    Volvo - Volvo Truck,    Volvo - Mack,    Navistar - International,Mexico (Class 8),    PACCAR - Kenworth,    Navistar - International,    Daimler - Freightliner,    Daimler - Mercedes-Benz,    Volvo - Volvo Truck,    Volvo - Mack,    Dina Camiones,    MAN - MAN,    Scania,Total North America (Class 6-7),    Daimler - Freightliner,    Daimler - Mercedes-Benz,    Navistar,    PACCAR - Kenworth,    PACCAR - Peterbilt,    Ford,    Hino,        US,        Canada,        Mexico,    Dina Camiones,    MAN - Volkswagen Truck & Bus,    Other,United States (Class 6-7),    Daimler - Freightliner,    Navistar - International,    PACCAR - Kenworth,    PACCAR - Peterbilt,    Ford,    Hino,Canada (Class 6-7),    Navistar - International,    PACCAR - Kenworth,    PACCAR - Peterbilt,    Daimler - Freightliner,    Hino,    Ford,Mexico (Class 6-7),    Daimler - Freightliner,    Daimler - Mercedes-Benz,    Navistar - International,    Hino,    Dina Camiones,    PACCAR - Kenworth,    General Motors - Chevrolet,Adj Close
10/2017,18.60465116,20.80620155,23.34883721,24.03100775,5.457364341,4.279069767,0,3.472868217,0,0,112,3225,600,671,753,775,176,138,0,112,0,0,1974,511,584,418,260,73,16,0,112,0,1251,515,335,160,87,65,89,0,0,0,36.13750216,33.537744,2.599758162,0.391680372,31.43029884,17.04957678,14.38072206,17.77077215,17.77077215,12.96856106,7.751770599,5.216790465,0.231759596,0.146548677,0.146548677,0.470392758,1.69286578,37.41075413,35.33020973,2.0805444,32.60263275,15.44511379,17.15751896,14.29607318,8.366800535,5.929272646,15.62360553,15.62360553,0.066934404,36.1162192,27.69400515,8.422214049,25.89187201,16.55020228,9.341669732,14.56417801,9.599117323,4.965060684,23.42773078,23.42773078,29.05540056,29.05540056,26.9828617,26.9828617,27.06257473,27.06257473,4.020270886,1.753686727,1.355121562,0.398565165,2.42636377,1.462956668,1.462956668,4.680644539,35.66616136,35.66616136,2.526128519,27.95182752,11.52939195,5.592049857,5.937342092,13.3484925,7.015327607,0,0,0,38.63679514,38.63679514,26.96981204,26.96981204,12.13214354,5.819251946,6.312891589,14.92310613,6.797038162,51.6722408,51.6722408,15.05016722,8.361204013,6.688963211,11.20401338,11.20401338,19.56521739,2.173913043,13.20754717,13.20754717,0,22.77628032,22.77628032,0,0,0,0.13477089,0.13477089,0,0,23156,7766,602,0,3948,3330,4115,1795,1208,0,0,0,392,17928,6334,373,2769,3076,1500,1063,2801,12,2719,753,229,450,254,261,135,637,2509,729,677,679,91.13333333,34,10,53.13333333,0,0,11874,4235,0,3319,664,705,1585,833,716,117,61.23333333,27,49.9,474,10534,4070,2841,613,665,1572,716,598,309,50,40,67,117,13,742,98,275.9333333,169,0,0,1,0,56.416393
9/2017,16.49205813,17.13416695,26.08989523,24.40013518,6.894221021,5.30584657,0.033795201,3.616086516,0,0.033795201,107,2959,488,507,772,722,204,157,1,107,0,1,1725,428,421,439,217,96,17,0,107,0,1234,505,333,187,86,61,60,1,0,1,41.01480855,38.14203762,2.872770934,0.391680372,30.03068439,17.33890692,12.69177747,12.20705296,12.20705296,14.43055988,7.693333926,6.737225953,0.231759596,0.146548677,0.146548677,0.470392758,2.316894206,43.38597385,41.04828211,2.337691742,29.95981208,15.22046754,14.73934454,15.26008943,7.833814456,7.426274976,11.29223977,11.29223977,0.10188487,38.04616653,28.44187964,9.604286892,27.61747732,17.31244847,10.30502885,21.06347898,12.86067601,8.202802968,13.27287716,13.27287716,32.99916458,32.99916458,17.8780284,17.8780284,26.52464495,26.52464495,4.020270886,1.587301588,1.42021721,0.167084378,2.42636377,1.462956668,1.462956668,4.680644539,36.6839101,36.6839101,2.526128519,27.39029611,11.00606493,6.01141634,4.994648591,12.50445951,7.625758116,0,0,0,40.41237113,40.41237113,25.89690722,25.89690722,11.70103093,6.329896907,5.371134021,14.26804124,7.329896907,55.28967254,55.28967254,11.46095718,6.549118388,4.911838791,12.72040302,12.72040302,18.13602015,2.267002519,12.81337047,12.81337047,0,16.71309192,16.71309192,0,0,0,1.114206128,1.114206128,0,0,22487,8577,646,0,3899,2854,2745,1730,1515,0,0,0,521,17667,7252,413,2689,2604,1384,1312,1995,18,2426,690,233,420,250,312,199,322,2394,790,428,635,91.13333333,34,4,53.13333333,0,0,11212,4113,0,3071,674,560,1402,855,711,144,61.23333333,27,49.9,498,9700,3920,2512,614,521,1384,711,794,439,52,39,101,144,18,718,92,275.9333333,120,0,0,8,0,55.913555
8/2017,14.05440415,15.47927461,31.25,22.02072539,7.804404145,5.569948187,0.064766839,3.724093264,0.03238342,0,115,3088,434,478,965,680,241,172,2,115,1,0,1693,371,414,575,115,94,9,0,115,0,1395,565,390,232,64,78,63,2,1,0,35.86499839,32.64693661,3.218061776,0.391680372,30.80012928,16.78747865,14.01265063,16.23343645,16.23343645,15.48547948,8.509164781,6.976314696,0.231759596,0.146548677,0.146548677,0.470392758,1.615956415,36.82278923,34.06734242,2.755446813,30.22253291,14.13841314,16.08411977,16.80647792,8.813934522,7.9925434,16.02586508,16.02586508,0.122334848,34.47037702,24.41651706,10.05385996,29.08438061,16.78635548,12.29802513,20.06283662,14.13824057,5.92459605,16.38240575,16.38240575,36.86534216,36.86534216,17.66004415,17.66004415,29.97792494,29.97792494,4.020270886,0.971302429,0.662251656,0.309050773,2.42636377,1.462956668,1.462956668,4.680644539,35.17039209,35.17039209,2.526128519,32.14364236,8.955661414,4.902894833,4.052766581,13.34554782,6.419934042,0,0,0,37.375522,37.375522,32.63732734,32.63732734,9.19530999,5.091551558,4.103758432,14.51975586,6.071313845,36.41025641,36.41025641,17.17948718,6.41025641,10.76923077,12.05128205,12.05128205,30.76923077,3.333333333,12.20423412,12.20423412,0,22.41594022,22.41594022,0,0,0,1.245330012,1.245330012,0,0,21659,7071,697,0,3636,3035,3516,1843,1511,0,0,0,350,17166,5848,473,2427,2761,1513,1372,2751,21,2228,544,224,374,274,315,132,365,2265,835,400,679,91.13333333,15,7,53.13333333,0,0,13645,4799,0,4386,669,553,1821,876,756,120,61.23333333,27,49.9,515,12452,4654,4064,634,511,1808,756,390,142,25,42,47,120,13,803,98,275.9333333,180,0,0,10,0,56.39843
7/2017,19.30215293,18.63400148,25.79806978,21.82628062,7.201187825,3.897550111,0,3.340757238,0,0,90,2694,520,502,695,588,194,105,0,90,0,0,1555,432,447,354,171,46,15,0,90,0,1139,417,341,179,55,59,88,0,0,0,38.90160183,35.49961861,3.401983219,0.391680372,33.0129672,18.47953216,14.53343504,11.91456903,11.91456903,14.26392067,7.815916603,6.448004068,0.231759596,0.146548677,0.146548677,0.470392758,1.906941266,40.66723249,37.78154991,2.885682575,32.76751322,15.87778286,16.88973036,15.81902461,8.369785206,7.449239407,10.60912711,10.60912711,0.137102566,35.5704698,24.68839885,10.88207095,33.50910835,20.5177373,12.99137105,16.87440077,10.93000959,5.944391179,14.04602109,14.04602109,34.21750663,34.21750663,18.78868258,18.78868258,30.01768347,30.01768347,4.020270886,1.326259947,1.193633952,0.132625995,2.42636377,1.462956668,1.462956668,4.680644539,33.95784543,33.95784543,2.526128519,30.01261034,11.3673212,6.386236714,4.981084489,13.41199784,6.998738966,0,0,0,36.01049339,36.01049339,30.89496519,30.89496519,11.75461608,6.548279689,5.206336394,14.83200484,6.467561296,30.81510934,30.81510934,17.89264413,10.53677932,7.355864811,20.47713718,20.47713718,27.03777336,3.777335984,14.24418605,14.24418605,0,16.71511628,16.71511628,0,0,0,1.01744186,1.01744186,0,0,19665,6981,669,0,3634,2858,2343,1537,1268,0,0,0,375,15317,5787,442,2432,2587,1282,1141,1625,21,2086,515,227,428,271,228,124,293,2262,774,425,679,91.13333333,27,3,53.13333333,0,0,11102,3770,0,3332,709,553,1489,777,641,136,61.23333333,27,49.9,468,9911,3569,3062,649,516,1470,641,503,155,53,37,103,136,19,688,98,275.9333333,115,0,0,7,0,51.256466
6/2017,17.24683544,18.78955696,28.9556962,20.45094937,7.278481013,4.430379747,0.039556962,2.768987342,0.039556962,0,70,2528,436,475,732,517,184,112,1,70,1,0,1406,355,400,431,103,30,17,0,70,0,1122,414,301,167,75,82,81,1,1,0,38.37754918,34.79967515,3.57787403,0.391680372,30.45027973,16.67569031,13.77458942,11.2524815,11.2524815,17.63219636,8.730373579,8.901822776,0.231759596,0.146548677,0.146548677,0.470392758,2.287493232,39.70537262,36.47024841,3.235124206,30.68168689,14.615829,16.06585789,19.60716349,9.416522241,10.19064125,9.878682842,9.878682842,0.127094165,37.6109766,28.20823245,9.402744149,26.79580307,15.81920904,10.97659403,18.68442292,10.85552865,7.82889427,16.90879742,16.90879742,32.57575758,32.57575758,15.36195286,15.36195286,29.503367,29.503367,4.020270886,2.146464646,1.515151515,0.631313131,2.42636377,1.462956668,1.462956668,4.680644539,34.13016925,34.13016925,2.526128519,25.69359623,10.46937707,5.976269412,4.49310766,16.63758506,8.549991276,0,0,0,36.33531302,36.33531302,26.35575893,26.35575893,10.74870996,6.085093954,4.663616006,18.38185182,8.178366274,27.13004484,27.13004484,19.73094171,11.65919283,8.071748879,17.48878924,17.48878924,31.39013453,4.260089686,13.69127517,13.69127517,0,15.70469799,15.70469799,0,0,0,1.073825503,1.073825503,0,0,22164,7713,793,0,3696,3053,2494,1935,1973,0,0,0,507,17310,6313,560,2530,2781,1630,1764,1710,22,2478,699,233,392,272,269,194,419,2376,774,365,701,91.13333333,36,15,53.13333333,0,0,11462,3912,0,2945,685,515,1907,980,840,140,61.23333333,27,49.9,518,10271,3732,2707,625,479,1888,840,446,121,52,36,78,140,19,745,102,275.9333333,117,0,0,8,0,58.862026
5/2017,17.11250983,17.42722266,28.36349331,21.36113297,8.064516129,4.287962234,0.236034618,3.068450039,0,0.078678206,78,2542,435,443,721,543,205,109,6,78,0,2,1486,365,388,404,189,43,17,0,78,2,1056,354,317,188,55,66,70,6,0,0,42.55156608,39.60561497,2.945951108,0.391680372,30.12796028,16.99293354,13.13502674,10.69518717,10.69518717,14.58174179,7.892475172,6.689266616,0.231759596,0.146548677,0.146548677,0.470392758,2.043544691,44.95937962,42.46676514,2.492614476,29.96061054,14.8572132,15.10339734,15.55268341,8.314869522,7.237813885,9.4596258,9.4596258,0.06770064,38.7473904,29.89561587,8.85177453,29.85386221,17.45302714,12.40083507,17.6617954,10.60542797,7.056367432,13.73695198,13.73695198,31.59495871,31.59495871,16.25380269,16.25380269,29.50890917,29.50890917,4.020270886,4.519774012,2.086049544,2.433724468,2.42636377,1.462956668,1.462956668,4.680644539,40.85716897,40.85716897,2.526128519,24.06104359,11.68783697,6.19574157,5.492095403,11.68783697,7.758384355,0,0,0,44.06883835,44.06883835,24.28805573,24.28805573,11.64720344,6.248719525,5.398483917,12.98914157,7.00676091,28.59813084,28.59813084,25.23364486,11.40186916,13.8317757,13.27102804,13.27102804,30.8411215,2.056074766,15.17027864,15.17027864,0,16.87306502,16.87306502,0,0,0,1.083591331,1.083591331,0,0,20944,8295,617,0,3559,2751,2240,1653,1401,0,0,0,428,16248,6900,405,2414,2454,1351,1176,1537,11,2395,716,212,418,297,254,169,329,2301,727,374,679,91.13333333,48,56,53.13333333,0,0,10943,4471,0,2633,678,601,1279,849,684,165,61.23333333,27,49.9,432,9762,4302,2371,610,527,1268,684,535,153,61,74,71,165,11,646,98,275.9333333,109,0,0,7,0,60.393944
4/2017,15.54921541,19.16310033,25.3447456,24.63147884,7.513076557,5.04041845,0.332857822,2.42510699,0,0,51,2103,327,403,533,518,158,106,7,51,0,0,1308,281,358,308,239,60,11,0,51,0,795,279,225,147,45,46,46,7,0,0,38.13502674,34.69251337,3.442513369,0.391680372,31.92959002,17.94786096,13.98172906,13.06261141,13.06261141,14.66131907,8.077094474,6.584224599,0.231759596,0.146548677,0.146548677,0.470392758,2.211452763,39.00693842,35.88464874,3.122289679,33.30442325,16.78953455,16.5148887,16.52934374,8.860942469,7.668401272,11.09424689,11.09424689,0.065047702,42.39583333,32.70833333,9.6875,25,13.28125,11.71875,15.05208333,9.583333333,5.46875,17.55208333,17.55208333,29.32604736,29.32604736,21.53916211,21.53916211,28.91621129,28.91621129,4.020270886,2.550091075,1.821493625,0.72859745,2.42636377,1.462956668,1.462956668,4.680644539,37.9344233,37.9344233,2.526128519,22.94291075,9.952648977,5.780398463,4.172250514,18.68131868,6.584472438,0,0,0,39.84962406,39.84962406,23.17794486,23.17794486,10.3358396,6.105263158,4.230576441,20.80200501,5.834586466,24.95636998,24.95636998,13.96160558,6.108202443,7.853403141,31.2390925,31.2390925,27.05061082,2.792321117,14.26356589,14.26356589,0,17.51937984,17.51937984,0,0,0,0.465116279,0.465116279,0,0,17952,6228,618,0,3222,2510,2345,1450,1182,0,0,0,397,13836,4965,432,2323,2285,1226,1061,1535,9,1920,628,186,255,225,184,105,337,2196,644,473,635,91.13333333,40,16,53.13333333,0,0,11193,4246,0,2568,647,467,2091,737,582,155,61.23333333,27,49.9,437,9975,3975,2312,609,422,2075,582,573,143,35,45,179,155,16,645,92,275.9333333,113,0,0,3,0,61.489452
3/2017,21.02502018,14.52784504,32.72800646,16.78773204,8.192090395,3.914447135,0.040355125,2.663438257,0.040355125,0.08071025,66,2478,521,360,811,416,203,97,1,66,1,2,1468,443,302,505,90,34,27,0,66,1,1010,326,306,176,58,63,78,1,1,1,37.60119631,34.31134946,3.289846852,0.391680372,29.0620327,16.52142526,12.54060744,11.0452225,11.0452225,20.0123756,10.17377404,9.838601557,0.231759596,0.146548677,0.146548677,0.470392758,2.279172897,38.99817481,35.97647536,3.021699452,29.09484216,14.27702292,14.81781924,22.2943284,11.08632461,11.20800379,9.599134726,9.599134726,0.013519908,37.93271575,28.62018528,9.312530473,26.18235007,14.4807411,11.70160897,22.62311068,11.75036568,10.872745,13.2618235,13.2618235,31.18870145,31.18870145,17.65398195,17.65398195,29.2271479,29.2271479,4.020270886,4.66849745,3.609258533,1.059238917,2.42636377,1.462956668,1.462956668,4.680644539,36.12921918,36.12921918,2.526128519,26.26394321,8.858467333,4.469071418,4.389395915,17.40547588,7.721280603,0,0,0,38.18253968,38.18253968,26.34920635,26.34920635,9.07936508,4.523809524,4.555555556,19.01587302,7.373015873,40.08528785,40.08528785,14.28571429,7.462686567,6.823027719,14.92537313,14.92537313,29.21108742,1.492537313,14.5183175,14.5183175,0,16.01085482,16.01085482,0,0,0,1.628222524,1.628222524,0,0,19393,6654,638,0,3204,2432,2142,1973,1908,0,0,0,442,14793,5322,447,2112,2192,1640,1658,1420,2,2051,587,191,297,240,241,223,272,2549,795,450,745,91.13333333,92,27,53.13333333,0,0,13806,4988,0,3626,617,606,2403,1066,929,137,61.23333333,27,49.9,500,12600,4811,3320,570,574,2396,929,469,188,35,32,70,137,7,737,107,275.9333333,118,0,0,12,0,55.161411
2/2017,15.33505155,23.7757732,32.15206186,16.10824742,6.056701031,3.801546392,0.322164948,2.384020619,0,0.06443299,37,1552,238,369,499,250,94,59,5,37,0,1,901,194,328,260,52,21,8,0,37,1,651,198,239,86,41,38,44,5,0,0,39.92754119,37.12488892,2.802652266,0.391680372,28.4913528,14.64214916,13.84920364,12.69396404,12.69396404,17.27390799,8.818101032,8.455806959,0.231759596,0.146548677,0.146548677,0.470392758,1.613233987,40.99107143,38.48214286,2.508928571,28.09821428,11.88392857,16.21428571,19.22321429,9.357142857,9.866071429,11.66071429,11.66071429,0.026785714,41.95088677,33.15143247,8.799454297,28.17189631,13.84720327,14.32469304,18.55388813,11.18690314,7.366984993,11.32332879,11.32332879,30.97300051,30.97300051,19.61283749,19.61283749,32.34844626,32.34844626,4.020270886,5.196128375,3.973509934,1.222618441,2.42636377,1.462956668,1.462956668,4.680644539,39.33584075,39.33584075,2.526128519,24.99770663,7.705715072,3.586826897,4.118888175,16.78745069,7.201174204,0,0,0,42.46406571,42.46406571,24.57905544,24.57905544,7.813141683,3.624229979,4.188911704,18.58316222,6.560574949,35.94080338,35.94080338,16.27906977,7.610993658,8.66807611,12.68498943,12.68498943,30.86680761,4.22832981,13.37209302,13.37209302,0,23.40116279,23.40116279,0,0,0,0.290697674,0.290697674,0,0,14629,5431,410,0,2142,2026,1857,1290,1237,0,0,0,236,11200,4310,281,1331,1816,1048,1105,1306,3,1466,486,129,203,210,164,108,166,1963,608,385,635,91.13333333,78,24,53.13333333,0,0,10901,4288,0,2725,391,449,1830,785,639,146,61.23333333,27,49.9,433,9740,4136,2394,353,408,1810,639,473,170,36,41,60,146,20,688,92,275.9333333,161,0,0,2,0,58.777046
1/2017,17.03703704,17.1957672,28.62433862,17.40740741,10.21164021,5.555555556,0.423280423,3.227513228,0,0.317460318,61,1890,322,325,541,329,193,105,8,61,0,6,1003,274,273,270,73,33,12,1,61,6,887,256,271,181,52,72,48,7,0,0,39.69588676,36.96307196,2.732814799,0.391680372,27.03384486,12.93532338,14.09852148,13.73414617,13.73414617,17.10461776,9.025296055,8.079321701,0.231759596,0.146548677,0.146548677,0.470392758,2.43150445,39.73866959,37.25328947,2.485380117,27.86915205,10.85526316,17.01388889,20.54093567,10.76388889,9.777046784,11.81469298,11.81469298,0.036549708,46.25998548,37.69063181,8.569353667,25.708061,14.81481481,10.89324619,10.02178649,5.156136529,4.865649964,18.01016703,18.01016703,23.28205128,23.28205128,21.48717949,21.48717949,34.82051282,34.82051282,4.020270886,2.820512821,2,0.820512821,2.42636377,1.462956668,1.462956668,4.680644539,37.12106003,37.12106003,2.526128519,20.70869303,8.311584019,4.497088938,3.814495081,22.30475808,7.0568159,0,0,0,39.60551384,39.60551384,20.31827861,20.31827861,8.685419702,4.673316149,4.012103553,24.82348986,6.567297994,24.21383648,24.21383648,16.03773585,9.119496855,6.918238994,20.75471698,20.75471698,36.79245283,2.201257862,13.59223301,13.59223301,0,23.99445215,23.99445215,0,0,0,0.27739251,0.27739251,0,0,14271,5275,390,0,1846,2012,1960,1288,1153,0,0,0,347,10944,4077,272,1188,1862,1178,1070,1293,4,1377,519,118,204,150,71,67,248,1950,454,419,679,91.13333333,39,16,53.13333333,0,0,9962,3698,0,2063,448,380,2222,703,586,117,61.23333333,27,49.9,448,8923,3534,1813,417,358,2215,586,318,77,29,22,66,117,7,721,98,275.9333333,173,0,0,2,0,58.144497
