date 30 min,lst trd /lst prce
12/13/2017 15:30,70.1
12/13/2017 15:00,70.25
12/13/2017 14:30,70.18
12/13/2017 14:00,70.05
12/13/2017 13:30,70.04
12/13/2017 13:00,70.2
12/13/2017 12:30,70.31
12/13/2017 12:00,70.53
12/13/2017 11:30,70.615
12/13/2017 11:00,70.31
12/13/2017 10:30,70.38
12/13/2017 10:00,70.48
12/13/2017 9:30,70.54
12/12/2017 15:30,71.92
12/12/2017 15:00,71.82
12/12/2017 14:30,72.19
12/12/2017 14:00,71.94
12/12/2017 13:30,71.86
12/12/2017 13:00,71.77
12/12/2017 12:30,71.68
12/12/2017 12:00,71.38
12/12/2017 11:30,71.33
12/12/2017 11:00,71.26
12/12/2017 10:30,71.36
12/12/2017 10:00,71.4
12/12/2017 9:30,71.4199
12/11/2017 15:30,71.71
12/11/2017 15:00,71.515
12/11/2017 14:30,71.52
12/11/2017 14:00,71.4
12/11/2017 13:30,71.45
12/11/2017 13:00,71.52
12/11/2017 12:30,71.435
12/11/2017 12:00,71.47
12/11/2017 11:30,71.41
12/11/2017 11:00,71.44
12/11/2017 10:30,71.38
12/11/2017 10:00,71.72
12/11/2017 9:30,71.75
12/8/2017 15:30,71.97
12/8/2017 15:00,71.69
12/8/2017 14:30,71.63
12/8/2017 14:00,71.78
12/8/2017 13:30,71.865
12/8/2017 13:00,71.77
12/8/2017 12:30,71.73
12/8/2017 12:00,71.83
12/8/2017 11:30,71.68
12/8/2017 11:00,71.58
12/8/2017 10:30,71.52
12/8/2017 10:00,71.575
12/8/2017 9:30,71.44
12/7/2017 15:30,71.22
12/7/2017 15:00,71
12/7/2017 14:30,71.04
12/7/2017 14:00,71.13
12/7/2017 13:30,71.235
12/7/2017 13:00,71.45
12/7/2017 12:30,71.55
12/7/2017 12:00,71.61
12/7/2017 11:30,71.49
12/7/2017 11:00,71.39
12/7/2017 10:30,71.31
12/7/2017 10:00,71.235
12/7/2017 9:30,70.9
12/6/2017 15:30,70.12
12/6/2017 15:00,70.03
12/6/2017 14:30,70.095
12/6/2017 14:00,70.01
12/6/2017 13:30,70.18
12/6/2017 13:00,70.16
12/6/2017 12:30,70.14
12/6/2017 12:00,69.87
12/6/2017 11:30,69.91
12/6/2017 11:00,70.14
12/6/2017 10:30,70.14
12/6/2017 10:00,70
12/6/2017 9:30,69.81
12/5/2017 15:30,70.17
12/5/2017 15:00,70.4
12/5/2017 14:30,70.29
12/5/2017 14:00,70.57
12/5/2017 13:30,70.82
12/5/2017 13:00,70.82
12/5/2017 12:30,70.65
12/5/2017 12:00,70.91
12/5/2017 11:30,71.09
12/5/2017 11:00,71.18
12/5/2017 10:30,71.21
12/5/2017 10:00,71.01
12/5/2017 9:30,70.87
12/4/2017 15:30,70.27
12/4/2017 15:00,70.505
12/4/2017 14:30,70.85
12/4/2017 14:00,70.94
12/4/2017 13:30,70.95
12/4/2017 13:00,70.96
12/4/2017 12:30,71.22
12/4/2017 12:00,71.74
12/4/2017 11:30,71.51
12/4/2017 11:00,71.24
12/4/2017 10:30,71.26
12/4/2017 10:00,70.93
12/4/2017 9:30,71.06
12/1/2017 15:30,69.65
12/1/2017 15:00,69.71
12/1/2017 14:30,69.75
12/1/2017 14:00,69.65
12/1/2017 13:30,69.63
12/1/2017 13:00,69.62
12/1/2017 12:30,69.58
12/1/2017 12:00,69.18
12/1/2017 11:30,69.39
12/1/2017 11:00,68.395
12/1/2017 10:30,69.67
12/1/2017 10:00,69.51
12/1/2017 9:30,69.43
11/30/2017 15:30,70.33
11/30/2017 15:00,70.08
11/30/2017 14:30,69.95
11/30/2017 14:00,70.12
11/30/2017 13:30,69.97
11/30/2017 13:00,70.03
11/30/2017 12:30,70.11
11/30/2017 12:00,70.11
11/30/2017 11:30,69.66
11/30/2017 11:00,69.62
11/30/2017 10:30,69.605
11/30/2017 10:00,69.76
11/30/2017 9:30,69.499
11/29/2017 15:30,69.01
11/29/2017 15:00,68.84
11/29/2017 14:30,68.84
11/29/2017 14:00,68.9
11/29/2017 13:30,68.7
11/29/2017 13:00,68.7
11/29/2017 12:30,68.76
11/29/2017 12:00,68.7
11/29/2017 11:30,68.71
11/29/2017 11:00,69.28
11/29/2017 10:30,69.47
11/29/2017 10:00,69.25
11/29/2017 9:30,68.6
11/28/2017 15:30,68.55
11/28/2017 15:00,68.23
11/28/2017 14:30,68.2401
11/28/2017 14:00,67.96
11/28/2017 13:30,67.86
11/28/2017 13:00,67.89
11/28/2017 12:30,68.065
11/28/2017 12:00,67.8929
11/28/2017 11:30,67.96
11/28/2017 11:00,67.77
11/28/2017 10:30,67.57
11/28/2017 10:00,67.63
11/28/2017 9:30,67.12
11/27/2017 15:30,66.9
11/27/2017 15:00,66.86
11/27/2017 14:30,67.03
11/27/2017 14:00,66.93
11/27/2017 13:30,67.1
11/27/2017 13:00,67.02
11/27/2017 12:30,67.05
11/27/2017 12:00,67.02
11/27/2017 11:30,67.02
11/27/2017 11:00,67.04
11/27/2017 10:30,67.06
11/27/2017 10:00,66.98
11/27/2017 9:30,67.19
11/24/2017 14:00,66.94
11/24/2017 13:00,66.94
11/24/2017 12:30,66.94
11/24/2017 12:00,67.0375
11/24/2017 11:30,66.96
11/24/2017 11:00,66.8
11/24/2017 10:30,66.925
11/24/2017 10:00,67.02
11/24/2017 9:30,67.17
11/22/2017 15:30,67.87
11/22/2017 15:00,67.96
11/22/2017 14:30,68.01
11/22/2017 14:00,67.87
11/22/2017 13:30,67.98
11/22/2017 13:00,67.94
11/22/2017 12:30,68
11/22/2017 12:00,67.87
11/22/2017 11:30,67.97
11/22/2017 11:00,67.98
11/22/2017 10:30,68.125
11/22/2017 10:00,68.29
11/22/2017 9:30,68.06
11/21/2017 15:30,67.69
11/21/2017 15:00,67.78
11/21/2017 14:30,67.85
11/21/2017 14:00,67.755
11/21/2017 13:30,67.78
11/21/2017 13:00,67.865
11/21/2017 12:30,68.03
11/21/2017 12:00,67.981
11/21/2017 11:30,68.1
11/21/2017 11:00,67.91
11/21/2017 10:30,67.92
11/21/2017 10:00,68.06
11/21/2017 9:30,68.225
11/20/2017 15:30,67.7
11/20/2017 15:00,67.73
11/20/2017 14:30,67.71
11/20/2017 14:00,67.74
11/20/2017 13:30,67.79
11/20/2017 13:00,67.75
11/20/2017 12:30,67.77
11/20/2017 12:00,67.63
11/20/2017 11:30,67.62
11/20/2017 11:00,67.62
11/20/2017 10:30,67.74
11/20/2017 10:00,67.5301
