ds,y
3/17/1980,0.407749
3/18/1980,0.391293
3/19/1980,0.385808
3/20/1980,0.35838
3/21/1980,0.362037
3/24/1980,0.354723
3/25/1980,0.360209
3/26/1980,0.360209
3/27/1980,0.351067
3/28/1980,0.362037
3/31/1980,0.362037
4/1/1980,0.362037
4/2/1980,0.356552
4/3/1980,0.356552
4/7/1980,0.356552
4/8/1980,0.354723
4/9/1980,0.363865
4/10/1980,0.362037
4/11/1980,0.362037
4/14/1980,0.35838
4/15/1980,0.35838
4/16/1980,0.356552
4/17/1980,0.34741
4/18/1980,0.345581
4/21/1980,0.345581
4/22/1980,0.349238
4/23/1980,0.303526
4/24/1980,0.321811
4/25/1980,0.319982
4/28/1980,0.321811
4/29/1980,0.321811
4/30/1980,0.329125
5/1/1980,0.327296
5/2/1980,0.325468
5/5/1980,0.327296
5/6/1980,0.332782
5/7/1980,0.343753
5/8/1980,0.349238
5/9/1980,0.352895
5/12/1980,0.34741
5/13/1980,0.338267
5/14/1980,0.349238
5/15/1980,0.352895
5/16/1980,0.35838
5/19/1980,0.356552
5/20/1980,0.356552
5/21/1980,0.356552
5/22/1980,0.383979
5/23/1980,0.393121
5/27/1980,0.391293
5/28/1980,0.385808
5/29/1980,0.380322
5/30/1980,0.378494
6/2/1980,0.378494
6/3/1980,0.376665
6/4/1980,0.380322
6/5/1980,0.376665
6/6/1980,0.374837
6/9/1980,0.369351
6/10/1980,0.369351
6/11/1980,0.373008
6/12/1980,0.367523
6/13/1980,0.369351
6/16/1980,0.37118
6/17/1980,0.37118
6/18/1980,0.365694
6/19/1980,0.367523
6/20/1980,0.365694
6/23/1980,0.365694
6/24/1980,0.369351
6/25/1980,0.373008
6/26/1980,0.374837
6/27/1980,0.374837
6/30/1980,0.374837
7/1/1980,0.374837
7/2/1980,0.374837
7/3/1980,0.383979
7/7/1980,0.389464
7/8/1980,0.385808
7/9/1980,0.391293
7/10/1980,0.393121
7/11/1980,0.396778
7/14/1980,0.416892
7/15/1980,0.415063
7/16/1980,0.413235
7/17/1980,0.415063
7/18/1980,0.411406
7/21/1980,0.413235
7/22/1980,0.407749
7/23/1980,0.407749
7/24/1980,0.407749
7/25/1980,0.407749
7/28/1980,0.413235
7/29/1980,0.413235
7/30/1980,0.427862
7/31/1980,0.422377
8/1/1980,0.420549
8/4/1980,0.424205
8/5/1980,0.426034
8/6/1980,0.426034
8/7/1980,0.437005
8/8/1980,0.444318
8/11/1980,0.446147
8/12/1980,0.449804
8/13/1980,0.458946
8/14/1980,0.460775
8/15/1980,0.471745
8/18/1980,0.460775
8/19/1980,0.458946
8/20/1980,0.458946
8/21/1980,0.482716
8/22/1980,0.497344
8/25/1980,0.49003
8/26/1980,0.495515
8/27/1980,0.486373
8/28/1980,0.486373
8/29/1980,0.488202
9/2/1980,0.488202
9/3/1980,0.511972
9/4/1980,0.5138
9/5/1980,0.522943
9/8/1980,0.521114
9/9/1980,0.5138
9/10/1980,0.5138
9/11/1980,0.533914
9/12/1980,0.535742
9/15/1980,0.533914
9/16/1980,0.533914
9/17/1980,0.533914
9/18/1980,0.530257
9/19/1980,0.530257
9/22/1980,0.535742
9/23/1980,0.535742
9/24/1980,0.530257
9/25/1980,0.530257
9/26/1980,0.519286
9/29/1980,0.506487
9/30/1980,0.506487
10/1/1980,0.506487
10/2/1980,0.521114
10/3/1980,0.522943
10/6/1980,0.535742
10/7/1980,0.539399
10/8/1980,0.543056
10/9/1980,0.541227
10/10/1980,0.543056
10/13/1980,0.541227
10/14/1980,0.541227
10/15/1980,0.543056
10/16/1980,0.543056
10/17/1980,0.539399
10/20/1980,0.539399
10/21/1980,0.539399
10/22/1980,0.539399
10/23/1980,0.53757
10/24/1980,0.539399
10/27/1980,0.539399
10/28/1980,0.539399
10/29/1980,0.539399
10/30/1980,0.539399
10/31/1980,0.515629
11/3/1980,0.504658
11/5/1980,0.511972
11/6/1980,0.504658
11/7/1980,0.511972
11/10/1980,0.510143
11/11/1980,0.510143
11/12/1980,0.511972
11/13/1980,0.5138
11/14/1980,0.515629
11/17/1980,0.515629
11/18/1980,0.515629
11/19/1980,0.515629
11/20/1980,0.519286
11/21/1980,0.519286
11/24/1980,0.519286
11/25/1980,0.519286
11/26/1980,0.521114
11/28/1980,0.521114
12/1/1980,0.521114
12/2/1980,0.517457
12/3/1980,0.5138
12/4/1980,0.5138
12/5/1980,0.519286
12/8/1980,0.5138
12/9/1980,0.5138
12/10/1980,0.5138
12/11/1980,0.504658
12/12/1980,0.5138
12/15/1980,0.506487
12/16/1980,0.497344
12/17/1980,0.501001
12/18/1980,0.502829
12/19/1980,0.506487
12/22/1980,0.508315
12/23/1980,0.511972
12/24/1980,0.515629
12/26/1980,0.515629
12/29/1980,0.517457
12/30/1980,0.517457
12/31/1980,0.517457
1/2/1981,0.517457
1/5/1981,0.517457
1/6/1981,0.517457
1/7/1981,0.493687
1/8/1981,0.462603
1/9/1981,0.462603
1/12/1981,0.477231
1/13/1981,0.479059
1/14/1981,0.482716
1/15/1981,0.480888
1/16/1981,0.482716
1/19/1981,0.482716
1/20/1981,0.480888
1/21/1981,0.475403
1/22/1981,0.477231
1/23/1981,0.479059
1/26/1981,0.479059
1/27/1981,0.477231
1/28/1981,0.480888
1/29/1981,0.482716
1/30/1981,0.482716
2/2/1981,0.480888
